 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
MGNL0141,2021,SEPTIEMBRE,FRACCIONAMIENTO,Balcones de Garcia,AVENIDA,Av. Balcones de Garcia / Balcones del Mirador,NO,SI,SI,NO,NO,SI,4,"25.794654, -100.604654",
MGNL0046,2021,SEPTIEMBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR SAN JOSE,CALLE,ENCOMIENDA,SI,SI,SI,SI,NO,SI,2,"25.796987, -100.465936",
MGNL0143,2021,SEPTIEMBRE,COLONIA,Benito Juarez,AVENIDA,Av. Heberto Castillo / Gardenia,NO,SI,SI,SI,NO,SI,13,"25.799384, -100.586346",
MGNL0049,2021,SEPTIEMBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR SAN AGUSTIN,CALLE,VIRREY E IMPERIAL,NO,NO,SI,SI,NO,SI,1,"25.798767, -100.459597",
MGNL0148,2021,SEPTIEMBRE,COLONIA,El Casco,CALLE,Guerrero / Genaro Garza Garcia,NO,SI,SI,NO,NO,SI,1,"25.809403, -100.589715",
MGNL0051,2021,SEPTIEMBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR FRAILE 2,CALLE,PERLA Y SAMALANCA,NO,SI,SI,NO,NO,SI,4,"25.789735, -100.473881",
MGNL0152,2021,SEPTIEMBRE,COLONIA,El Fraile II,CALLE,21 de Marzo / 2 de Abril,NO,SI,SI,SI,NO,SI,10 Dobles,"25.79923, -100.594313",
MGNL0055,2021,SEPTIEMBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR 2,CALLE,SEGOVIA,NO,SI,SI,NO,NO,SI,3,"25.801844, -100.486055",
MGNL0155,2021,SEPTIEMBRE,COLONIA,Fray Juan Antonio de Sobrevilla,AVENIDA,Av. Sor Juana / Fray Bartolomé de las Casas,NO,SI,NO,SI,NO,SI,5,"25.796368, -100.596906",
MGNL0059,2021,SEPTIEMBRE,FRACCIONAMIENTO,LOS PARQUES DIAMANTE,CALLE,DIAMANTE CULIÑAN,SI,SI,NO,SI,NO,SI,1,"25.790452, -100.473652",
MGNL0171,2021,SEPTIEMBRE,FRACCIONAMIENTO,Joya de la Corona,CALLE,Diego Rivera / Av. Rufino Tamayo,NO,SI,SI,SI,NO,SI,15,"25.808003, -100.576463",
MGNL0060,2021,SEPTIEMBRE,FRACCIONAMIENTO,LOS PARQUES DIAMANTE,CALLE,DIAMANTE REIS,SI,SI,NO,SI,NO,SI,1,"25.790442, -100.473201",
MGNL0196,2021,SEPTIEMBRE,FRACCIONAMIENTO,Los Heroes Lincoln,CALLE,Rios Jurva / Rio Orinoco,NO,SI,NO,SI,NO,SI,15,"25.808699, -100.559539",
