FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
17940,2021,ENERO,2021-01-09,SÁBADO,09:12:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y FRAY LUIS DE LEON,"25.730775, -100.309218"
22299,2021,AGOSTO,2021-08-05,JUEVES,12:00:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,LAS PUENTES,AVENIDA,JUAN PABLO II Y CRISTINA LARRALDE,"25.743391, -100.293008"
23442,2021,AGOSTO,2021-08-05,JUEVES,10:52:00,ALCANCE,FINIQUITADO,RUTINA,RESIDENCIAL,TORRES DE SANTO DOMINGO,CALLE,ENRIQUE RECIO Y CAMINO AL MEZQUITAL,"25.736805, -100.254146"
17939,2021,ENERO,2021-01-09,SÁBADO,06:23:00,ESTRELLAMIENTO,PERITAJES,RUTINA,COLONIA,CIUDAD UNIVERSITARIA,AVENIDA,FIDEL VZZ Y BARRAGAN,"25.729245, -100.316883"
23689,2021,AGOSTO,2021-08-05,JUEVES,14:15:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CASA BELLA,AVENIDA,SENDERO Y MATAMOROS,"25.766597, -100.298297"
23861,2021,AGOSTO,2021-08-05,JUEVES,14:49:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,PARQUE LA TALAVERNA,AVENIDA,CALZADA UNION Y GRES,"25.716844, -100.232783"
18231,2021,ENERO,2021-01-09,SÁBADO,10:10:00,ALCANCE,PERITAJES,RUTINA,COLONIA,CIUDAD UNIVERSITARIA,AVENIDA,FIDEL VZZ Y BARRAGAN,"25.729245, -100.316883"
24201,2021,AGOSTO,2021-08-05,JUEVES,16:40:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y MANUEL L BARRAGAN,"25.729245, -100.316883"
23315,2021,AGOSTO,2021-08-05,JUEVES,16:55:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,PARQUE STIVA,AVENIDA,MANUEL L BARRAGAN Y SENDERO,"25.765865, -100.305457"
18230,2021,ENERO,2021-01-09,SÁBADO,10:18:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CIUDAD UNIVERSITARIA,AVENIDA,FIDEL VZZ Y BARRAGAN,"25.729245, -100.316883"
23862,2021,AGOSTO,2021-08-05,JUEVES,15:38:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,LA FE,AVENIDA,MIGUEL ALEMAN Y ACAPULCO,"25.72448, -100.214115"
23690,2021,AGOSTO,2021-08-05,JUEVES,17:00:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,LAS PUENTES,AVENIDA,JUAN PABLO II Y GONZALITOS,"25.746781, -100.294432"
