Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
1,2021,ABRIL-JUNIO,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
1,2022,ENERO-MARZO,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
1,2021,ENERO-MARZO,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
1,2021,OCTUBRE-DICIEMBRE,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
1,2021,JULIO-SEPTIEMBRE,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
1,2022,ABRIL-JUNIO,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
1,2022,JULIO-SEPTIEMBRE,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
1,2022,OCTUBRE-DICIEMBRE,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
1,2023,ENERO-MARZO,Edificio C4,Colonia,Santa Rosalia,Calle,Mina,224,Sin número,67320,"Lunes, Martes, Miercoles, Jueves, Viernes",08:00:00,16:00:00,"Se reciben y canalizan todo tipo de reportes, se brindan informes acerca de trámites del departamento de vialidad, orientacion a vacantes de empleo.",3,8124746860,"25.433010495035848, -100.15571503121338",Se hace de su conocimiento que los reportes pueden ser atendidos en horario 24/7 a la linea telefonica 911
