 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,9,RIVERAS DE LINDA VISTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6935432, -100.2344119",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,29,VALLE DE LINDAVISTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6946593, -100.2513986",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,32,VALLE HERMOSO,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6870036, -100.2113117",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,16,VALLES DE LAS SABINAS,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6879236, -100.1978791",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,26,VILLA DE SAN MIGUEL,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.7077558, -100.2166188",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,23,VILLA ESPAÑOLA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6993591, -100.2160656",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,26,VILLAS DE SAN ANTONIO,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.7079106, -100.2083907",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,16,FRACC. HACIENDA LA TRINIDAD,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6597622, -100.1551384",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,8,ALMENDROS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6912088, -100.2138099",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,1,ARBOLEDAS DE SANTA CECILIA,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6838697, -100.1651346",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,24,ARBOLEDAS DEL ORIENTE,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.7263163, -100.2003823",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,1,ARBOLEDAS SANTA CRUZ,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6728967, -100.1578939",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,17,BALCONES DE SANTA CRUZ,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.682125, -100.2554634",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,26,CAÑADA BLANCA,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.7250615, -100.1895659",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,13,CNOP,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6658645, -100.1470185",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,7,COLONIAL SAN MIGUEL 1o Y 2o SECTOR,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.7129890040967, -100.18873446336728",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,18,DOS RIOS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6746704, -100.1876208",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,20,EDUARDO CABALLERO,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.72671, -100.1998135",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,13,EVOLUCION,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6700758, -100.1490606",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,17,FUENTES DE GUADALUPE,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6775383, -100.2635126",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,15,HACIENDA LOS LERMAS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6995584, -100.2045718",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,16,HACIENDA SAN SEBASTIAN,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6620456, -100.167115",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,3,INFONAVIT BENITO JUAREZ,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6521982, -100.1008073",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,4,JARDINES DE GUADALUPE,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.7001906, -100.1850172",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,11,JARDINES DEL RIO,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6998011, -100.1889636",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,21,LA AMISTAD,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.7113918, -100.2076525",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,30,LA CONDESA,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6973294, -100.1615113",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,25,LAS ESCOBAS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6761549, -100.1348751",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,9,Las Sabinas (Solidaridad Fomerrey),VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6830657, -100.2083943",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,9,FAISANES SECTOR EL DORADO,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6867054, -100.1780991",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,15,LOS LERMAS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6779918, -100.202236",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,23,LOS MANANTIALES,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6751304, -100.1773555",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,15,MELCHOR OCAMPO,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6804977, -100.1977597",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,20,MISION DE GUADALUPE,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.7306706, -100.206544",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,31,MISION SANTA CRUZ,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6647413, -100.1525773",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,15,ORIZABA,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6834237, -100.197349",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,29,PASEO SAN MIGUEL,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6834237, -100.197349",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,16,PRADERAS DE GUADALUPE,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6600176, -100.1663017",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,28,PRIV. SAN FERNANDO,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.7193681, -100.1963945",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,8,PROVIVIENDA GUADALUPE,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.7115364, -100.1973288",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,9,RESIDENCIAL LAS HACIENDAS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.677372241142933, -100.24235386603574",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,17,RINCON DE LOS SABINOS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6718689, -100.165449",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,27,RIVERAS DE LA SILLA FOM. 31,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6943476, -100.1944228",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,25,SABINITAS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.689352, -100.1887087",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,12,VAQUERIAS,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6608001, -100.1681879",
II,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,23,VILLAS DEL RIO,VESPERTINO,MARTES-JUEVES-SABADO,14:00:00,24:00:00,"25.6736822, -100.1856603",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,12,ALAMEDAS DEL HACIENDA,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6718487, -100.2485221",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,13,ALFONSO MARTINEZ DOMINGUEZ,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6583921, -100.2380093",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,10,ARBOLEDAS DE LA SILLA,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6532264, -100.2291497",
