Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
2.0,2022,Agosto,Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
1.0,2022,Seotiembre,Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
1.0,2022,OCTUBRE,Modulo de Informacion de Seguridad Pública,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.73004083234508, -100.25797541837859",
2.0,2022,NOVIEMBRE,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.727573191567622, -100.26073676312772",
1.0,2022,DICIEMBRE,Modulo de Informacion de Seguridad Pública,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.73004083234508, -100.25797541837859",
2.0,2022,Septiembre,Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
2.0,2022,Julio,Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
2.0,2022,OCTUBRE,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.727573191567622, -100.26073676312772",
1.0,2022,NOVIEMBRE,Modulo de Informacion de Seguridad Pública,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.73004083234508, -100.25797541837859",
2.0,2022,DICIEMBRE,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.727573191567622, -100.26073676312772",
1.0,2023,Enero Febrero y Marzo,Modulo de Informacion de Seguridad Pública,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.731296737644534, -100.25881626665242",
1.0,2023,Marzo,Modulo de Informacion de Seguridad Pública,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.731296737644534, -100.25881626665242",
2.0,2023,Enero Febrero y Marzo,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
1.0,2023,Febrero,Modulo de Informacion de Seguridad Pública,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.731296737644534, -100.25881626665242",
2.0,2023,Febrero,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
2.0,2023,Marzo,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
