 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
1844,2023,FEBRERO,2023-02-26,2023-02-26 00:00:00,16:40:00,DIVERSO (REVERSA),EN TRÁMITE,C4/911,SUBURBANA/RURAL,LA VILLA,CALLE,ESTACIONAMIENTO DE SORIANA,"25.42452726293766, -100.14877312056589",
1794,2023,FEBRERO,2023-02-27,2023-02-27 00:00:00,12:18:00,ESTRELLAMIENTO,FINIQUITADO,C4/911,SUBURBANA/RURAL,EL CERCADO,CALLE,PORFIRIO DIAZ,"25.405268958550547, -100.13488124361048",
1795,2023,FEBRERO,2023-02-27,2023-02-27 00:00:00,18:10:00,DIVERSO,FINIQUITADO,C4/911,SUBURBANA/RURAL,EL CERCADO,CARRETERA,CARRETERA NACIONAL KM 246,"25.405354108611462, -100.13392142480146",
1917,2023,FEBRERO,2023-02-28,2023-02-28 00:00:00,14:05:00,ESTRELLAMIENTO,EN TRÁMITE,C4/911,SUBURBANA/RURAL,EL ALAMO,CARRETERA,CARRETERA NACIONAL KM 242,"25.39807259746176, -100.12782429239658",
1912,2023,FEBRERO,2023-02-28,2023-02-28 00:00:00,13:06:00,ESTRELLAMIENTO CON HUIDA DE VEHICULO,EN TRÁMITE,C4/911,SUBURBANA/RURAL,EL YERBANIZ,CALLE,SD,"25.483503218058704, -100.16793477917273",
1918,2023,MARZO,2023-03-02,2023-03-02 00:00:00,15:00:00,CRUCERO,EN TRÁMITE,C4/911,SUBURBANA/RURAL,CENTRO DE SANTIAGO,CALLE,JUAREZ,"25.42872289342448, -100.1529181431078",
1870,2023,MARZO,2023-03-04,2023-03-04 00:00:00,17:44:00,ESTRELLAMIENTO CON OBJETO FIJO,EN TRÁMITE,C4/911,SUBURBANA/RURAL,CIENEGA DE GZZ,CARRETERA,CARRETERA A LAGUNA DE SANCHEZ KM 24.5,"25.388959387412353, -100.2478293170256",
1919,2023,MARZO,2023-03-05,2023-03-05 00:00:00,13:48:00,ESTRELLAMIENTO,EN TRÁMITE,C4/911,SUBURBANA/RURAL,LA VILLA,CARRETERA,CARRETERA NACIONAL KM 249,"25.424619849433608, -100.14788496032998",
1902,2023,MARZO,2023-03-05,2023-03-05 00:00:00,19:32:00,ATROPELLO CON HUIDA,EN TRÁMITE,C4/911,SUBURBANA/RURAL,LOS FIERROS,CARRETERA,CARRETERA NACIONAL KM 241,"25.370916976689447, -100.10583935398012",
1947,2023,MARZO,2023-03-07,2023-03-07 00:00:00,10:38:00,LATERAL CON HUIDA,EN TRÁMITE,C4/911,SUBURBANA/RURAL,LOS CAVAZOS,CARRETERA,CARRETERA NACIONAL KM 252,"25.45565726959564, -100.16600669502888",
