Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
3,2021,Abril - Junio,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Carga y descarga,91,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
6,2021,Abril - Junio,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Exclusivos,26,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
2,2021,Julio - Septiembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Abanderamiento,317,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
2,2021,Octubre - Diciembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Abanderamiento,285,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
3,2021,Octubre - Diciembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Carga y descarga,130,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
4,2021,Octubre - Diciembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Licencias,1058,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
6,2021,Octubre - Diciembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Exclusivos,22,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
1,2022,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Area Restringida,65,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
3,2022,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Carga y descarga,118,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
4,2022,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Licencias,1158,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
6,2022,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Exclusivos,11,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
2,2022,Abril - Junio,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Abanderamiento,74,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
3,2022,Abril - Junio,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Carga y descarga,52,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
5,2022,Abril - Junio,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Liberaciones de vehiculos,199,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
6,2022,Abril - Junio,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Exclusivos,12,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
