 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
Z21,2021,Enero - Marzo,Red Recolector,Ctsn-02,Viejo Roble 2,Vespertino,Lunes,16:30:00,17:30:00,"25.765314, -100.285294",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Bosques Del Roble 1,Vespertino,Miercoles Y Viernes,15:30:00,17:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z18,2021,Enero - Marzo,Red Recolector,Ctsn-14,Las Puentes 12,Matutino,Lunes,12:30:00,13:30:00,"25.741516, -100.272718",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z21,2021,Enero - Marzo,Red Recolector,Ctsn-02,Viejo Roble 2,Vespertino,Miercoles Y Viernes,16:30:00,17:00:00,"25.765314, -100.285294",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,El Naranjal O Huertas De San Bartolo,Vespertino,Miercoles Y Viernes,18:00:00,18:20:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z18,2021,Enero - Marzo,Red Recolector,Ctsn-14,Las Puentes 12,Matutino,Miercoles Y Viernes,09:00:00,22:30:00,"25.741516, -100.272718",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z21,2021,Enero - Marzo,Red Recolector,Ctsn-02,Viejo Roble 3,Vespertino,Lunes,17:30:00,18:30:00,"25.765314, -100.285294",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Miraflores 3,Vespertino,Miercoles Y Viernes,17:00:00,17:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z20,2021,Enero - Marzo,Red Recolector,Ctsn-02,Jardines De Anahuac,Matutino,Lunes,12:00:00,13:20:00,"25.7311, -100.275028",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,El Naranjal O Huertas De San Bartolo,Vespertino,Lunes,21:30:00,22:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Residencial Roble 2,Vespertino,Miercoles Y Viernes,17:30:00,18:00:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z21,2021,Enero - Marzo,Red Recolector,Ctsn-02,Res Roble San Nicolas 2,Vespertino,Lunes,20:00:00,22:00:00,"25.765314, -100.285294",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,San Bartolo,Vespertino,Lunes,15:00:00,15:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,San Isidro,Vespertino,Miercoles Y Viernes,14:30:00,15:00:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z21,2021,Enero - Marzo,Red Recolector,Ctsn-02,Valle Dorado,Vespertino,Miercoles Y Viernes,17:00:00,19:30:00,"25.765314, -100.285294",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Bosques Del Roble 2,Vespertino,Lunes,21:30:00,22:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Cabecera Municipal,Matutino,Lunes,06:30:00,14:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z21,2021,Enero - Marzo,Red Recolector,Ctsn-02,Valle Sol,Vespertino,Lunes,17:00:00,21:00:00,"25.765314, -100.285294",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Rincon Del Roble,Vespertino,Miercoles Y Viernes,20:00:00,21:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Cabecera Municipal,Matutino,Miercoles Y Viernes,06:30:00,13:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z21,2021,Enero - Marzo,Red Recolector,Ctsn-02,Valle Sol,Vespertino,Miercoles Y Viernes,17:00:00,20:00:00,"25.765314, -100.285294",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-03,Mira Flores 2,Vespertino,Lunes,19:00:00,20:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Residencial Roble 2,Vespertino,Lunes,20:00:00,21:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z21,2021,Enero - Marzo,Red Recolector,Ctsn-02,Viejo Roble 1,Vespertino,Lunes,15:30:00,16:30:00,"25.765314, -100.285294",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Res Roble San Nicolas 1,Vespertino,Miercoles Y Viernes,13:00:00,17:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Residencial Roble 6,Vespertino,Lunes,15:00:00,18:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Miraflores 4,Vespertino,Lunes,19:00:00,19:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Anahuac Sendero,Vespertino,Miercoles Y Viernes,14:30:00,15:30:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Res Roble San Nicolas 1,Vespertino,Lunes,14:00:00,17:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Residencial Roble 4,Vespertino,Lunes,22:00:00,23:00:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Anahuac Sendero,Vespertino,Lunes,15:30:00,17:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Residencial Roble 1,Vespertino,Miercoles Y Viernes,15:00:00,16:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Rincon Del Roble,Vespertino,Lunes,23:00:00,23:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Centenario Ii,Vespertino,Lunes,16:00:00,16:50:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Centenario Ii,Vespertino,Miercoles Y Viernes,16:00:00,16:30:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Miraflores 4,Vespertino,Miercoles Y Viernes,17:30:00,18:00:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,La Nogalera 2,Vespertino,Lunes,17:00:00,21:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Hacienda Del Roble 1,Vespertino,Lunes,20:00:00,20:40:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Residencial Roble 3,Vespertino,Miercoles Y Viernes,17:00:00,17:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Residencial Roble 7,Vespertino,Lunes,15:00:00,16:00:00,"25.764158, -100.269796",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Hacienda Del Roble 1,Vespertino,Miercoles Y Viernes,17:00:00,17:40:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,Residencial Roble 4,Vespertino,Miercoles Y Viernes,18:30:00,19:00:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Benito Juarez,Vespertino,Miercoles Y Viernes,17:00:00,17:35:00,"25.764158, -100.269796",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Hacienda Del Roble 2,Vespertino,Lunes,21:00:00,22:40:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,San Bartolo,Vespertino,Miercoles Y Viernes,14:00:00,14:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Las Alamedas,Vespertino,Lunes,16:00:00,18:00:00,"25.764158, -100.269796",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
