 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
P-155,2022,Octubre-Diciembre,Colonia,Los Treboles,Calle,Alexa,No,Si,No,No,No,No,0,"25.768180899679056, -100.15135519096086",
P-156,2022,Octubre-Diciembre,Colonia,Manantial,Calle,Riachuelo,No,Si,No,No,No,No,0,"25.781578646824727, -100.26295132624429",
P-157,2022,Octubre-Diciembre,Colonia,Manantial,Calle,Galaxia,No,Si,Si,No,No,Si,2,"25.78768831910163, -100.25934833998215",
P-158,2022,Octubre-Diciembre,Colonia,Margaritas,Avenida,Orquidea,No,Si,No,No,No,No,0,"25.70809674463564, -100.15929828958",
P-162,2022,Octubre-Diciembre,Colonia,Margaritas,Calle,Orquidea,No,Si,No,Si,No,Si,2,"25.708570253383108, -100.15433978898581",
P-164,2022,Octubre-Diciembre,Colonia,Margaritas,Calle,Jacarandas,No,Si,No,Si,No,No,0,"25.71235722861518, -100.15798964926752",
P-167,2022,Octubre-Diciembre,Colonia,Margaritas,Calle,Margaritas,No,Si,No,Si,No,Si,4,"25.71362164548543, -100.15202545692068",
P-168,2022,Octubre-Diciembre,Colonia,Metroplex,Calle,E-4,No,No,No,No,No,No,0,"25.786082051170293, -100.25091254625305",
P-172,2022,Octubre-Diciembre,Colonia,Metroplex,Calle,N-25,No,Si,No,No,No,No,0,"25.793659778016, -100.2550570581105",
P-173,2022,Octubre-Diciembre,Colonia,Metroplex,Calle,N-29,No,Si,No,No,No,Si,2,"25.795056864998298, -100.25312848199673",
P-177,2022,Octubre-Diciembre,Colonia,Milenio,Calle,Mississipi,No,Si,No,No,No,No,0,"25.760780192476645, -100.14992726835196",
P-180,2022,Octubre-Diciembre,Colonia,Mision Fundadores,Avenida,Fundadores,No,Si,No,No,No,No,0,"25.79599599251798, -100.24404444395067",
P-192,2022,Octubre-Diciembre,Colonia,Mision Real,Calle,Villa de San Carlos,No,No,No,Si,No,No,0,"25.728119925809132, -100.15708230396493",
P-193,2022,Octubre-Diciembre,Colonia,Mision Real,Calle,Davincci,No,No,No,Si,No,No,0,"25.725416880002097, -100.15740672201356",
P-195,2022,Octubre-Diciembre,Colonia,Mision Real,Calle,Rembrandt,No,No,No,No,No,No,0,"25.72688118556586, -100.15602270209024",
P-197,2022,Octubre-Diciembre,Colonia,Moderno Apodaca,Calle,Chapultepec,No,Si,No,No,No,Si,2,"25.780710638890167, -100.18208500207643",
P-204,2022,Octubre-Diciembre,Colonia,Noria Norte,Calle,Jalisco,No,Si,No,No,No,No,0,"25.73590833482969, -100.19211838441578",
P-206,2022,Octubre-Diciembre,Colonia,Noria Norte,Calle,Tecatitlan,No,No,No,No,No,No,0,"25.734313565535732, -100.18762439705932",
P-208,2022,Octubre-Diciembre,Colonia,Nova Apodaca,Calle,Tlaxcala,No,Si,No,No,No,Si,2,"25.79058112414255, -100.18262209196824",
P-216,2022,Octubre-Diciembre,Colonia,Nuevo las Puentes,Calle,Nueva las Puentes,No,No,No,Si,No,No,0,"25.785820645549027, -100.25914856096155",
P-219,2022,Octubre-Diciembre,Colonia,Nuevo las Puentes,Calle,Cobre,No,Si,Si,No,No,Si,4,"25.785204091038892, -100.26137808813867",
P-220,2022,Octubre-Diciembre,Colonia,Nuevo las Puentes,Calle,Galaxia,No,Si,No,No,No,No,0,"25.787685906282753, -100.25966341730522",
P-221,2022,Octubre-Diciembre,Colonia,Nuevo Mezquital,Avenida,Acero,Si,Si,Si,Si,No,Si,2,"25.748362786681007, -100.23946615331587",
P-225,2022,Octubre-Diciembre,Colonia,Triana,Calle,Antiguo Camino a Agua Fria,No,Si,Si,No,No,Si,8,"25.800487597118753, -100.17200144110919",
P-227,2022,Octubre-Diciembre,Colonia,Joyas del Pedregal,Calle,Platino,No,No,No,No,No,No,0,"25.732888877814897, -100.16309012013636",
P-233,2022,Octubre-Diciembre,Colonia,Paseo Apodaca,Calle,Benjamin Argumedo,No,Si,No,Si,No,No,0,"25.813589668686372, -100.24599097179275",
P-235,2022,Octubre-Diciembre,Colonia,Paseo de las Flores,Calle,Colector,No,No,No,No,No,No,0,"25.75950975270574, -100.13630757090374",
P-237,2022,Octubre-Diciembre,Colonia,Paseo de las Flores,Calle,Hamburgo,No,Si,No,No,No,No,0,"25.755676642844197, -100.13564440399298",
P-239,2022,Octubre-Diciembre,Colonia,Paseo de las Flores,Calle,Breme,No,No,No,Si,No,No,0,"25.761371283527748, -100.13674972943026",
P-240,2022,Octubre-Diciembre,Colonia,Paseo de las Flores,Calle,Estambul,No,No,No,No,No,No,0,"25.753687553912123, -100.13212113288596",
P-242,2022,Octubre-Diciembre,Colonia,Paseo de las Flores,Calle,Cordova,No,Si,No,No,No,No,0,"25.757544210866357, -100.13636386384015",
P-243,2022,Octubre-Diciembre,Colonia,Paseo de las Flores,Calle,Serbia,No,No,No,No,No,No,0,"25.759285194892534, -100.13399189447361",
P-244,2022,Octubre-Diciembre,Colonia,Paseo de las Flores,Calle,Sarajevo,No,Si,No,No,No,No,0,"25.75923953789461, -100.1370666785252",
P-248,2022,Octubre-Diciembre,Colonia,Paseo de las Palmas,Avenida,Palmas,No,Si,No,No,No,No,0,"25.775940637155887, -100.26561367196574",
P-254,2022,Octubre-Diciembre,Colonia,Paseo Santa Rosa,Calle,Golondrinas,No,No,No,No,No,No,0,"25.820945779972558, -100.23336378868419",
P-255,2022,Octubre-Diciembre,Colonia,Paseo Santa Rosa,Calle,Golondrinas,No,Si,No,No,No,No,0,"25.820910473851363, -100.22973926869598",
P-262,2022,Octubre-Diciembre,Colonia,Huinala,Calle,Felix Gomez,No,Si,No,No,No,Si,2,"25.746732840915943, -100.16473710765383",
P-270,2022,Octubre-Diciembre,Colonia,Praderas Apodaca,Calle,Año Internacional,Si,Si,No,No,No,No,0,"25.768931893593756, -100.26131409024967",
P-274,2022,Octubre-Diciembre,Colonia,Praderas de Huinala,Calle,Felipe Tena,No,No,No,No,No,No,0,"25.72033240830299, -100.13224840922105",
P-280,2022,Octubre-Diciembre,Colonia,Prados de Santa Rosa,Calle,Trueno,Si,Si,Si,Si,No,No,0,"25.799458854993496, -100.22587241038809",
P-282,2022,Octubre-Diciembre,Colonia,Los Treboles,Calle,Encanto,Si,Si,No,No,No,No,0,"25.765206217410306, -100.14939437851969",
P-284,2022,Octubre-Diciembre,Colonia,Los Treboles,Calle,Limon,No,No,No,No,No,No,0,"25.763801974085954, -100.14026517998803",
P-286,2022,Octubre-Diciembre,Colonia,Pueblo Nuevo,Calle,Rio Acuario,No,No,No,No,No,No,0,"25.754357191717553, -100.1655254329454",
P-287,2022,Octubre-Diciembre,Colonia,Pueblo Nuevo,Calle,Rio Nilo,No,Si,No,Si,No,Si,2,"25.75571467080374, -100.16341380226017",
P-290,2022,Octubre-Diciembre,Colonia,Pueblo Nuevo,Calle,Rio Aguarico,Si,Si,Si,Si,No,No,0,"25.762533198488587, -100.17185197488428",
P-294,2022,Octubre-Diciembre,Colonia,Quinta los Soles,Calle,Olga Acosta,No,Si,No,No,No,No,0,"25.80005119457417, -100.21208611224151",
P-297,2022,Octubre-Diciembre,Colonia,Real San Andres,Calle,Jazmin,No,No,No,No,No,No,0,"25.799141831559083, -100.23749899151589",
P-298,2022,Octubre-Diciembre,Colonia,Reforma,Calle,Juan Zuazua,No,Si,No,Si,No,No,0,"25.737554619028764, -100.17074780652665",
P-301,2022,Octubre-Diciembre,Colonia,San Francisco,Avenida,San Francisco,Si,Si,No,No,No,No,0,"25.759117348912646, -100.2176855739063",
P-303,2022,Octubre-Diciembre,Colonia,Residencial Apodaca,Calle,Nueva Huinala,No,Si,No,No,No,No,0,"25.791687209173205, -100.1794378382318",
P-315,2022,Octubre-Diciembre,Colonia,Rincon de San Miguel,Calle,Aluminio,Si,Si,No,Si,No,No,0,"25.72175418573355, -100.16794926971578",
P-318,2022,Octubre-Diciembre,Colonia,Rinconada,Calle,Paseo Virreyes,Si,Si,No,Si,No,Si,4,"25.797492796258435, -100.19664831576976",
P-323,2022,Octubre-Diciembre,Colonia,Roberto Espinoza,Calle,Camboyanos,Si,Si,No,Si,No,No,0,"25.72700490619266, -100.17588644961232",
P-326,2022,Octubre-Diciembre,Colonia,Pueblo Nuevo,Calle,Rio Nilo,Si,Si,Si,Si,No,Si,4,"25.761708343453176, -100.16391948074669",
P-331,2022,Octubre-Diciembre,Colonia,San Isidro,Calle,Rio Mississipi,No,Si,No,No,No,No,0,"25.760473604679333, -100.15176519704363",
P-341,2022,Octubre-Diciembre,Colonia,Tres Nogales,Calle,Cinera,No,Si,No,Si,No,No,0,"25.7181155408831, -100.16597997515817",
P-345,2022,Octubre-Diciembre,Colonia,Valle de Huinala,Calle,Independencia,No,Si,No,No,No,No,0,"25.742515189566248, -100.19843685147639",
P-346,2022,Octubre-Diciembre,Colonia,Valle de Huinala,Calle,Tenochtitlan,No,Si,No,Si,No,No,0,"25.742476533353063, -100.19947218413567",
P-348,2022,Octubre-Diciembre,Colonia,Valle de Huinala,Calle,Valle del Norte,No,Si,No,Si,No,No,0,"25.743350092571433, -100.18910528171992",
P-349,2022,Octubre-Diciembre,Colonia,Valle de Huinala,Calle,16 de septiembre,No,No,No,No,No,No,0,"25.74017871740718, -100.19007963892714",
P-350,2022,Octubre-Diciembre,Colonia,Valle de Huinala,Calle,Valle del Norte,No,Si,No,Si,No,No,0,"25.743350092571433, -100.18910528171992",
P-353,2022,Octubre-Diciembre,Colonia,Valle de las Bugambilias,Calle,Primavera,No,No,No,No,No,No,0,"25.795255235188804, -100.26387187671256",
P-354,2022,Octubre-Diciembre,Colonia,Valle de las Flores,Avenida,Mexico,No,No,No,Si,No,No,0,"25.705896186404637, -100.15221806146934",
P-359,2022,Octubre-Diciembre,Colonia,Valle de los Alamos,Calle,Alamo Verde,No,Si,No,No,No,No,0,"25.733689571126057, -100.1877030919573",
P-364,2022,Octubre-Diciembre,Colonia,Valle de Salduero,Calle,Asturias,No,Si,No,No,No,No,0,"25.811589344770827, -100.21712993727122",
P-368,2022,Octubre-Diciembre,Colonia,Valle de San Andres,Calle,Estelares,No,Si,Si,No,No,No,0,"25.79697432448578, -100.24818656207823",
P-369,2022,Octubre-Diciembre,Colonia,Valle del Pedregal,Calle,Arabia,No,No,No,Si,No,No,0,"25.7270375915982, -100.16565305413087",
P-374,2022,Octubre-Diciembre,Colonia,Vivienda Digna,Calle,Bosques de San Miguel,No,No,No,No,No,No,0,"25.706647539764255, -100.14258907704257",
P-375,2022,Octubre-Diciembre,Colonia,Vivienda Digna,Calle,Colombia,No,Si,No,Si,No,No,0,"25.708215994953857, -100.14466644799458",
P-380,2022,Octubre-Diciembre,Fraccionamiento,Los Olivos Residencial,Calle,Del Paraiso,No,Si,No,No,No,No,0,"25.70523923272814, -100.15089376689986",
P-383,2022,Octubre-Diciembre,Fraccionamiento,Paseo de la Loma,Calle,Paseo de la Loma,No,Si,No,No,No,No,0,"25.72100900922142, -100.14010395143802",
