Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
001,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,DIFUSION DE INFORMACION PREVENTIVA,1200,911.0,"25.647515301381734, -100.10293878871234",
001,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,PREVENCION DE LA VIOLENCIA,0,911.0,"25.647544316674285, -100.10291733104103",
001,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,CAIPA,137,911.0,"25.6475346449109, -100.10291733104103",
004,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS POR ACCIDENTES VIALES,95,911.0,"25.63468631475669, -100.18307366900459",
004,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS POR ACCIDENTES EN VIA PUBLICA,47,911.0,"25.63468631475669, -100.18307366900459",
004,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR DESCESO NATURAL,29,911.0,"25.63468631475669, -100.18307366900459",
004,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR INTENTO DE SUICIDIO,2,911.0,"25.63468631475669, -100.18307366900459",
004,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR DESCESO VIOLENTO,4,911.0,"25.63468631475669, -100.18307366900459",
004,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,TRASLADOS ORDINARIOS,3,911.0,"25.63468631475669, -100.18307366900459",
004,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS QUE FUERON CANCELACIONES,15,911.0,"25.634708282450152, -100.18308601752715",
004,2022,OCTUBRE-DICIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,PROGRAMA INTERNO DE PROTECCION CIVIL,22,911.0,"25.63468631475669, -100.18307366900459",
005,2022,OCTUBRE-DICIEMBRE,DIRECCION DE BOMBEROS,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,S/N,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR INCENDIO,83,911.0,"25.647242754869357, -100.10324365827563",
001,2022,ABRIL-JUNIO,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SEGUIMIENTO A REPORTES DE VIOLENCIA FAMILIAR,3,911.0,"25.64750562961595, -100.10292805987667",
001,2022,ABRIL-JUNIO,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,ASESORIA LEGAL Y CANALIZACION PSICOLOGICA,59,911.0,"25.647524973146695, -100.10292805987667",
001,2022,ABRIL-JUNIO,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,PREVENCION DE LA VIOLENCIA,0,911.0,"25.647544316674285, -100.10291733104103",
002,2022,ABRIL-JUNIO,DIRECCION DE VIALIDAD Y TRANSITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A SABADO,08:00 A 16:00,08:00 A 16:00,"LICENCIAS DE CONDUCIR,",651,911.0,"25.64750562961595, -100.10291733104103",
002,2022,ABRIL-JUNIO,DIRECCION DE VIALIDAD Y TRANSITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67277.0,LUNES A SABADO,08:00 A 16:00,08:00 A 16:00,INFRACCIONES COMETIDAS,832,911.0,"25.6475346449109, -100.10291733104103",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR ACCIDENTES DOMESTICOS,42,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS POR ACCIDENTES EN VIA PUBLICA,47,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR DESCESO VIOLENTO,4,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,TRASLADOS A CLINICAS IMSS,23,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS QUE FUERON CANCELACIONES,15,911.0,"25.634708282450152, -100.18308601752715",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,PROGRAMA INTERNO DE PROTECCION CIVIL,22,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,ESTUDIO DE AFORO,4,911.0,"25.634708282450152, -100.18308601752715",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,ANALISIS DE RIESGO ESTERNO,5,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,ANALISIS DE UNIDAD INERNA,1,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,MANUAL DE PROCEDIMIENTOS,15,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR PERSONA AHOGADA ARRASTARADA POR CORRIENTE DESDE EL MUNICIPIO DE GPE.,1,911.0,"25.63468631475669, -100.18307366900459",
005,2022,ABRIL-JUNIO,DIRECCION DE BOMBEROS,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,S/N,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR INCENDIO,83,911.0,"25.647242754869357, -100.10324365827563",
001,2022,JULIO-SEPTIEMBRE,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SEGUIMIENTO A REPORTES DE VIOLENCIA FAMILIAR,3,911.0,"25.64750562961595, -100.10292805987667",
002,2022,JULIO-SEPTIEMBRE,DIRECCION DE VIALIDAD Y TRANSITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A SABADO,08:00 A 16:00,08:00 A 16:00,"LICENCIAS DE CONDUCIR,",651,911.0,"25.64750562961595, -100.10291733104103",
003,2022,JULIO-SEPTIEMBRE,DIRECCION DE POLICIA,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,"REPORTES ATENDIDOS EN GENERAL (ROBO A CASA HABITACION, ROBO A PERSONA, VOLUMEN ALTO, RIÑA, VIOLENCIA FAMILIAR, LESIONADOS, VIOLACION, ATENTADOS AL PUDOR, ROBO DE VEHICULO, ENTRE OTROS.",9326,911.0,"25.6475346449109, -100.10296024638363",
004,2022,JULIO-SEPTIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS POR ACCIDENTES VIALES,95,911.0,"25.63468631475669, -100.18307366900459",
004,2022,JULIO-SEPTIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR DESCESO NATURAL,29,911.0,"25.63468631475669, -100.18307366900459",
004,2022,JULIO-SEPTIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,TRASLADOS A CLINICAS IMSS,23,911.0,"25.63468631475669, -100.18307366900459",
004,2022,JULIO-SEPTIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,TRASLADOS A CLINICAS PARTICULARES,43,911.0,"25.634708282450152, -100.18308601752715",
004,2022,JULIO-SEPTIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS QUE FUERON CANCELACIONES,15,911.0,"25.634708282450152, -100.18308601752715",
004,2022,JULIO-SEPTIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,ANALISIS DE RIESGO ESTERNO,5,911.0,"25.63468631475669, -100.18307366900459",
004,2022,JULIO-SEPTIEMBRE,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO POR PERSONA AHOGADA ARRASTARADA POR CORRIENTE DESDE EL MUNICIPIO DE GPE.,1,911.0,"25.63468631475669, -100.18307366900459",
001,2022,ENERO-MARZO,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,DIFUSION DE INFORMACION PREVENTIVA,1200,911.0,"25.647515301381734, -100.10293878871234",
001,2022,ENERO-MARZO,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,PREVENCION DE LA VIOLENCIA,0,911.0,"25.647544316674285, -100.10291733104103",
001,2022,ENERO-MARZO,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,CAIPA,137,911.0,"25.6475346449109, -100.10291733104103",
002,2022,ENERO-MARZO,DIRECCION DE VIALIDAD Y TRANSITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A SABADO,08:00 A 16:00,08:00 A 16:00,"LICENCIAS DE CONDUCIR,",651,911.0,"25.64750562961595, -100.10291733104103",
004,2022,ENERO-MARZO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,S/N,S/N,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS DIVERSOS,38,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ENERO-MARZO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,TRASLADOS ORDINARIOS,3,911.0,"25.63468631475669, -100.18307366900459",
004,2022,ENERO-MARZO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,TRASLADOS A CLINICAS PARTICULARES,43,911.0,"25.634708282450152, -100.18308601752715",
004,2022,ENERO-MARZO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,SN,SN,67288.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,INSPECCIONES,15,911.0,"25.634708282450152, -100.18308601752715",
005,2022,ENERO-MARZO,DIRECCION DE BOMBEROS,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,S/N,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIOS POR ENJAMBRES,53,911.0,"25.647242754869357, -100.10324365827563",
005,2022,ENERO-MARZO,DIRECCION DE BOMBEROS,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,S/N,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SERVICIO DIVERSO,165,911.0,"25.647242754869357, -100.10324365827563",
